Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2021;Kalimantan Tengah;Kab. Pulang Pisau;24699;1547
2021;Kalimantan Tengah;Kab. Barito Timur;16978;3792
2021;Kalimantan Tengah;Kota Palangkaraya;53990;52972
2021;Kalimantan Selatan;Kab. Tanah Laut;51734;38272
2021;Kalimantan Selatan;Kab. Kotabaru;47541;35066
2021;Kalimantan Selatan;Kab. Banjar;148796;126993
2021;Kalimantan Selatan;Kab. Barito Kuala;34660;25917
2021;Kalimantan Selatan;Kab. Tapin;29379;21199
2021;Kalimantan Selatan;Kab. Hulu Sungai Selatan;35043;25718
2021;Kalimantan Selatan;Kab. Hulu Sungai Tengah;37773;27287
2021;Kalimantan Selatan;Kab. Hulu Sungai Utara;35281;34552
2021;Kalimantan Selatan;Kab. Tabalong;36983;27457
2021;Kalimantan Selatan;Kab. Tanah Bumbu;59986;48964
2021;Kalimantan Selatan;Kab. Balangan;20441;17440
