Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Jawa Timur;Kab. Banyuwangi;0;0;0;0;0;0;0;0;0
2022;Jawa Timur;Kab. Situbondo;41688;12957;15210;22534;188;563;188;188;376
2022;Jawa Timur;Kab. Mojokerto;80593;3215;32890;35466;892;791;286;404;13786
2022;Jawa Timur;Kab. Jombang;94566;14074;15351;24198;2400;5246;2575;2400;32774
2022;Jawa Timur;Kab. Nganjuk;99696;3242;21236;19939;9726;1621;1621;1621;3404
2022;Jawa Timur;Kab. Magetan;35227;25162;8052;15097;1006;1006;2013;3019;10065
2022;Jawa Timur;Kab. Ngawi;50057;4966;13592;39993;3137;3006;4836;4574;6535
2022;Jawa Timur;Kab. Bojonegoro;61772;46672;4118;9609;1373;686;686;1373;10982
2022;Jawa Timur;Kab. Tuban;107934;28256;10661;20325;314;2988;184;2453;11325
2022;Jawa Timur;Kab. Gresik;78974;14698;6385;16540;671;6913;2885;1957;13812
2022;Jawa Timur;Kab. Sampang;76280;18646;16951;25427;1695;3390;1695;1695;23732
2022;Jawa Timur;Kab. Pamekasan;55627;4046;7080;13148;3034;5057;2023;2023;9103
2022;Jawa Timur;Kab. Sumenep;0;0;0;0;0;0;0;0;0
2022;Jawa Timur;Kota Kediri;36764;5345;8344;7822;2933;1564;913;587;913
2022;Jawa Timur;Kota Blitar;14698;3772;1442;2524;222;804;832;943;2496
2022;Jawa Timur;Kota Malang;151829;37964;12478;38132;2736;1452;586;4969;29004
2022;Jawa Timur;Kota Probolinggo;21829;1440;3234;6841;262;330;507;305;716
2022;Jawa Timur;Kota Pasuruan;2990;8965;16554;18436;2409;203;235;2414;1093
2022;Jawa Timur;Kota Mojokerto;17851;5;2322;3285;78;220;27;120;513
2022;Jawa Timur;Kota Madiun;35818;663;3493;1769;1105;398;398;354;221
2022;Jawa Timur;Kota Surabaya;0;0;0;0;0;0;0;0;0
2022;Jawa Timur;Kota Batu;1974;987;2962;1974;494;0;0;494;0
2022;Banten;Kab. Lebak;64766;25906;21589;32383;17271;10794;10794;21589;10794
2022;Banten;Kab. Tangerang;321031;164092;125299;156519;13043;26591;6984;19186;8752
2022;Banten;Kab. Serang;0;0;0;0;0;0;0;0;0
2022;Banten;Kota Tangerang;290705;2219;66461;99137;5396;11699;4034;1866;22742
2022;Banten;Kota Cilegon;33268;14139;8317;13307;3327;0;0;832;0
2022;Banten;Kota Serang;140993;10801;17291;42800;640;278;448;192;21
2022;Banten;Kota Tangerang Selatan;126490;49985;47749;61630;1349;2379;1704;3018;60707
2022;Bali;Kab. Jembrana;16278;28511;500;11324;422;18;1862;363;196
2022;Bali;Kab. Badung;19116;40502;13262;33931;3106;2509;800;1075;5173
2022;Bali;Kab. Gianyar;0;0;0;0;0;0;0;0;0
2022;Bali;Kab. Klungkung;10917;15434;1506;5270;376;0;2635;0;1506
2022;Bali;Kab. Bangli;5309;28177;735;2246;1388;4;421;1307;1250
2022;Bali;Kab. Karangasem;67090;11371;20468;9097;1137;1137;1137;1137;1137
2022;Bali;Kab. Buleleng;5731;98020;9586;21048;330;2565;745;1103;4155
2022;Bali;Kota Denpasar;20782;220944;20054;25969;4808;1487;1740;3543;16986
2022;Nusa Tenggara Barat;Kab. Lombok Barat;21067;12008;20330;822;10218;316;8006;105;9480
2022;Nusa Tenggara Barat;Kab. Lombok Tengah;84295;0;13794;19924;15326;0;0;0;19924
2022;Nusa Tenggara Barat;Kab. Lombok Timur;70635;45128;6867;37280;13735;7848;5886;7848;981
2022;Nusa Tenggara Barat;Kab. Sumbawa;36231;7756;11559;19286;2238;484;645;4058;12564
2022;Nusa Tenggara Barat;Kab. Bima;40441;5055;5055;20220;0;0;0;0;30331
2022;Nusa Tenggara Barat;Kab. Lombok Utara;22468;1872;1872;5617;1872;749;749;749;1498
2022;Nusa Tenggara Barat;Kota Mataram;0;0;0;0;0;0;0;0;0
2022;Nusa Tenggara Barat;Kota Bima;10264;6642;2113;6038;1811;1509;604;1208;0
2022;Nusa Tenggara Timur;Kab. Manggarai Barat;6194;7743;4646;8672;929;619;0;1549;619
2022;Nusa Tenggara Timur;Kota Kupang;23710;13727;11647;17054;4160;2496;1248;2080;7071
2022;Kalimantan Barat;Kab. Sambas;46445;6502;16488;29028;348;1161;1045;2322;12772
2022;Kalimantan Barat;Kab. Mempawah;307;2484;491;4110;4631;0;2546;0;16102
2022;Kalimantan Barat;Kab. Sanggau;0;0;0;0;0;0;0;0;0
2022;Kalimantan Barat;Kab. Kapuas Hulu;21787;642;6229;13928;1071;735;1246;1114;1912
2022;Kalimantan Barat;Kota Pontianak;17587;0;0;0;0;0;0;0;0
2022;Kalimantan Barat;Kota Singkawang;26066;0;2881;2675;1235;0;0;0;1441
2022;Kalimantan Tengah;Kab. Kapuas;0;0;0;0;0;0;0;0;0
2022;Kalimantan Tengah;Kab. Barito Selatan;19552;2933;978;244;244;244;0;0;244
2022;Kalimantan Tengah;Kab. Barito Utara;6781;2712;3165;4521;1130;1130;452;452;2260
2022;Kalimantan Tengah;Kab. Seruyan;9000;4500;3150;7500;600;450;1500;750;2550
2022;Kalimantan Tengah;Kab. Gunung Mas;6671;3706;3706;18529;1112;185;741;371;2038
2022;Kalimantan Tengah;Kab. Pulang Pisau;5865;6670;3320;6269;796;601;207;447;771
2022;Kalimantan Tengah;Kab. Murung Raya;4068;2034;2034;5085;407;1627;814;1017;3254
2022;Kalimantan Tengah;Kab. Barito Timur;5375;1512;1176;6215;168;840;1092;202;218
2022;Kalimantan Tengah;Kota Palangkaraya;23316;2401;4735;10807;710;1309;1209;1131;9831
2022;Kalimantan Selatan;Kab. Tanah Laut;0;0;0;0;0;0;0;0;0
2022;Kalimantan Selatan;Kab. Kotabaru;34725;1521;3704;15279;529;1058;463;1058;7805
2022;Kalimantan Selatan;Kab. Banjar;0;0;0;0;0;0;0;0;0
2022;Kalimantan Selatan;Kab. Barito Kuala;20932;3342;3694;4222;1091;668;176;704;352
2022;Kalimantan Selatan;Kab. Tapin;0;0;0;0;0;0;0;0;0
2022;Kalimantan Selatan;Kab. Hulu Sungai Selatan;19495;523;4639;8956;1025;163;318;141;71
2022;Kalimantan Selatan;Kab. Hulu Sungai Tengah;0;0;0;0;0;0;0;0;0
2022;Kalimantan Selatan;Kab. Tabalong;13503;750;6376;9002;375;1125;375;1125;4876
2022;Kalimantan Selatan;Kab. Tanah Bumbu;38900;2569;1944;7471;1276;1336;753;1355;5139
2022;Kalimantan Selatan;Kab. Balangan;11823;2107;2253;3008;424;344;148;247;222
2022;Kalimantan Selatan;Kota Banjarbaru;0;34372;288;21700;577;0;0;349;9794
2022;Kalimantan Timur;Kab. Paser;23811;95;4417;5906;598;5872;520;1524;559
2022;Kalimantan Timur;Kab. Kutai Kartanegara;84657;1122;11945;9002;2336;1798;630;2004;1031
2022;Kalimantan Timur;Kab. Berau;27585;637;1863;13183;4796;100;100;493;1046
2022;Kalimantan Timur;Kab. Kutai Barat;0;0;0;0;0;0;0;0;0
2022;Kalimantan Timur;Kab. Kutai Timur;32623;15535;6214;17865;2330;777;777;777;777
2022;Kalimantan Timur;Kab. Penajam Paser Utara;16161;382;7312;10451;77;7;235;291;119
2022;Kalimantan Timur;Kab. Mahakam Ulu;2792;279;447;1675;168;56;56;56;56
2022;Kalimantan Timur;Kota Balikpapan;79471;11949;19276;13527;7271;5524;1841;12325;36692
2022;Kalimantan Timur;Kota Samarinda;114440;15004;36439;42655;1393;1329;129;1972;986
2022;Kalimantan Timur;Kota Bontang;16786;2283;10463;6848;799;11;95;399;361
2022;Kalimantan Utara;Kab. Nunukan;7228;1277;3645;3318;31;31;16;16;16
2022;Kalimantan Utara;Kab. Tana Tidung;0;0;0;0;0;0;0;0;0
2022;Sulawesi Utara;Kab. Bolaang Mongondow;22847;6637;3886;4937;1851;1522;1326;1061;1646
2022;Sulawesi Utara;Kab. Minahasa;0;0;0;0;0;0;0;0;0
